term,definition
Earth system model (ESM),"A coupled atmosphere–ocean general circulation model in which a representation of the carbon cycle is included, allowing for interactive calculation of atmospheric CO2 or compatible emissions. Additional components (e.g., atmospheric chemistry, ice sheets, dynamic vegetation, nitrogen cycle, but also urban or crop models) may be included."
See also Climate model.,
Ecosystem,"An ecosystem is a functional unit consisting of living organisms, their non-living environment and the interactions within and between them. The components included in a given ecosystem and its spatial boundaries depend on the purpose for which the ecosystem is defined: in some cases they are relatively sharp, while in others they are diffuse. Ecosystem boundaries can change over time. Ecosystems are nested within other ecosystems and their scale can range from very small to the entire biosphere. In the current era, most ecosystems either contain people as key organisms, or are influenced by the effects of human activities in their environment. See also Ecosystem services."
Ecosystem services,
Ecological processes or functions having monetary or non-monetary value to individuals or society at,"large. These are frequently classified as (1) supporting services such as productivity or biodiversity maintenance, (2) provisioning services such as food or fibre, (3) regulating services such as climate regulation or carbon sequestration, and (4) cultural services such as tourism or spiritual and aesthetic appreciation."
Effective climate sensitivity,See Climate sensitivity.
Effective radiative forcing,See Radiative forcing.
Electric vehicle (EV),A vehicle whose propulsion is powered fully or mostly by electricity.
Battery electric vehicle (BEV),A vehicle whose propulsion is entirely electric without any internal combustion engine.
Plug-in hybrid electric vehicle (PHEV),A vehicle whose propulsion is mostly electric with batteries re-charged from an electric source but extra power and distance are provided by a hybrid internal combustion engine.
El niño-southern oscillation (ENSO),"The term El Niño was initially used to describe a warm-water current that periodically flows along the coast of Ecuador and Peru, disrupting the local fishery. It has since become identified with warming of the tropical Pacific Ocean east of the dateline. This oceanic event is associated with a fluctuation of a global-scale tropical and subtropical surface pressure pattern called the Southern Oscillation. This coupled atmosphere–ocean phenomenon, with preferred time scales of two to about seven years, is known as the El Niño-Southern Oscillation (ENSO). It is often measured by the surface pressure anomaly difference between Tahiti and Darwin and/or the sea surface temperatures in the central and"
"eastern equatorial Pacific. During an ENSO event, the prevailing trade winds weaken, reducing","upwelling and altering ocean currents such that the sea surface temperatures warm, further weakening the trade winds. This phenomenon has a great impact on the wind, sea surface temperature and precipitation patterns in the tropical Pacific. It has climatic effects throughout the Pacific region and in many other parts of the world, through global teleconnections. The cold phase of ENSO is called La Niña."
Emission scenario,"A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases (GHGs), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships. Concentration scenarios, derived from emission scenarios, are often used as input to a climate model to compute climate projections."
"See also Baseline scenario, Mitigation scenario, Representative Concentration Pathways (RCPs)","(under Pathways), Shared socio-economic pathways (SSPs) (under Pathways), Scenario, Socio-
economic scenario, and Transformation pathway."
Emissions trading,"A market-based instrument aiming at meeting a mitigation objective in an efficient way. A cap on GHG emissions is divided in tradeable emission permits that are allocated by a combination of auctioning and handing out free allowances to entities within the jurisdiction of the trading scheme. Entities need to surrender emission permits equal to the amount of their emissions (e.g., tonnes of CO2). An entity may sell excess permits to entities that can avoid the same amount of emissions in a cheaper way. Trading schemes may occur at the intra-company, domestic, or international level (e.g., the flexibility mechanisms under the Kyoto Protocol and the EU-EUTS) and may apply to carbon dioxide (CO2), other greenhouse gases (GHGs), or other substances."
Emission trajectories,"A projected development in time of the emission of a greenhouse gas (GHG) or group of GHGs, aerosols, and GHG precursors. See also Pathways."
Enabling conditions,
"Conditions that affect the feasibility of adaptation and mitigation options, and can accelerate and","scale-up systemic transitions that would limit temperature increase to 1.5°C and enhance capacities of systems and societies to adapt to the associated climate change, while achieving sustainable development, eradicating poverty and reducing inequalities. Enabling conditions include finance, technological innovation, strengthening policy instruments, institutional capacity, multi-level governance, and changes in human behaviour and lifestyles. They also include inclusive processes, attention to power asymmetries and unequal opportunities for development and reconsideration of values."
See also Feasibility.,
Energy efficiency,
The ratio of output or useful energy or energy services or other useful physical outputs obtained from,"a system, conversion process, transmission or storage activity to the input of energy (measured as kWh kWh-1, tonnes kWh-1 or any other physical measure of useful output like tonne-km transported). Energy efficiency is often described by energy intensity. In economics, energy intensity describes the ratio of economic output to energy input. Most commonly energy efficiency is measured as input energy over a physical or economic unit, i.e. kWh USD-1 (energy intensity), kWh tonne-1. For buildings, it is often measured as kWh m-2, and for vehicles as km liter-1or liter km-1. Very often in policy ""energy efficiency"" is intended as the measures to reduce energy demand through technological options such as insulating buildings, more efficient appliances, efficient lighting, efficient vehicles, etc."
Energy security,"The goal of a given country, or the global community as a whole, to maintain an adequate, stable and predictable energy supply. Measures encompass safeguarding the sufficiency of energy resources to meet national energy demand at competitive and stable prices and the resilience of the energy supply; enabling development and deployment of technologies; building sufficient infrastructure to generate, store and transmit energy supplies and ensuring enforceable contracts of delivery."
Enhanced weathering,"Enhancing the removal of carbon dioxide from the atmosphere through dissolution of silicate and carbonate rocks by grinding these minerals to small particles and actively applying them to soils, coasts or oceans."
(Model) Ensemble,
"A group of parallel model simulations characterising historical climate conditions, climate","predictions, or climate projections. Variation of the results across the ensemble members may give an estimate of modelling-based uncertainty. Ensembles made with the same model but different initial conditions only characterize the uncertainty associated with internal climate variability, whereas multi-model ensembles including simulations by several models also include the impact of model differences. Perturbed parameter ensembles, in which model parameters are varied in a systematic manner, aim to assess the uncertainty resulting from internal model specifications within a single model. Remaining sources of uncertainty unaddressed with model ensembles are related to systematic model errors or biases, which may be assessed from systematic comparisons of model simulations with observations wherever available."
See also Climate projection.,
Equality,
"A principle that ascribes equal worth to all human beings, including equal opportunities, rights, and","obligations, irrespective of origins Inequality"
"Uneven opportunities and social positions, and processes of discrimination within a group or society,","based on gender, class, ethnicity, age, and (dis)ability, often produced by uneven development. Income inequality refers to gaps between highest and lowest income earners within a country and between countries. See also Equity, Ethics, and Fairness."
Equilibrium climate sensitivity,See Climate sensitivity. Equity
Equity is the principle of fairness in burden sharing and is a basis for understanding how the impacts,"and responses to climate change, including costs and benefits, are distributed in and by society in more or less equal ways. It is often aligned with ideas of equality, fairness and justice and applied with respect to equity in the responsibility for, and distribution of, climate impacts and policies across society, generations, and gender, and in the sense of who participates and controls the processes of decision making. Distributive equity"
"Equity in the consequences, outcomes, costs and benefits of actions or policies. In the case of climate","change or climate policies for different people, places and countries, including equity aspects of sharing burdens and benefits for mitigation and adaptation. Gender equity"
"Ensuring equity in that women and men have the same rights, resources and opportunities. In the case",of climate change gender equity recognizes that women are often more vulnerable to the impacts of climate change and may be disadvantaged in the process and outcomes of climate policy.
Inter-generational equity,
Equity between generations,"that acknowledges that the effects of past and present emissions, vulnerabilities and policies impose costs and benefits for people in the future and of different age groups. Procedural equity"
"Equity in the process of decision making including recognition and inclusiveness in participation,","equal representation, bargaining power, voice and equitable access to knowledge and resources to participate. See also Equality, Ethics and Fairness."
Ethics,"Ethics involves questions of justice and value. Justice is concerned with right and wrong, equity and fairness, and, in general, with the rights to which people and living beings are entitled. Value is a matter of worth, benefit, or good. See also Equality, Equity, and Fairness."
Evidence,"Data and information used in the scientific process to establish findings. In this report, the degree of evidence reflects the amount, quality, and consistency of scientific/technical information on which the Lead Authors are basing their findings. See also Agreement, Confidence, Likelihood, and Uncertainty."
Exposure,
"The presence of people; livelihoods; species or ecosystems; environmental functions, services, and","resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected. See also Hazard, Risk, and Vulnerability. Extratropical Cyclone Any cyclonic-scale storm that is not a tropical cyclone. Usually refers to a middle- or high-latitude migratory storm system formed in regions of large horizontal temperature variations. Sometimes called extratropical storm or extratropical low."
See also Tropical cyclone.,
Extreme weather or climate event,See Climate extreme (extreme weather or climate event).
Extreme weather event,"An extreme weather event is an event that is rare at a particular place and time of year. Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations. By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense. When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season). See also Heat wave, and Climate extreme (extreme weather or climate event)"
Fairness,"Impartial and just treatment without favouritism or discrimination in which each person is considered of equal worth with equal opportunity. See also Equity, Equality and Ethics."
Feasible scenario commitment,See Climate change commitment.
Feasibility,
The degree to which climate goals and response options are considered possible and/or desirable.,"Feasibility depends on geophysical, ecological, technological, economic, social and institutional conditions for change. Conditions underpinning feasibility are dynamic, spatially variable, and may vary between different groups."
See also Enabling conditions.,
Feedback,See Climate feedback.
Flexible governance,
Flood,"The overflowing of the normal confines of a stream or other body of water, or the accumulation of water over areas that are not normally submerged. Floods include river (fluvial) floods, flash floods, urban floods, pluvial floods, sewer floods, coastal floods, and glacial lake outburst floods."
Food security,
"A situation that exists when all people, at all times, have physical, social and economic access to","sufficient, safe and nutritious food that meets their dietary needs and food preferences for an active and healthy life (FAO, 2001)."
Food wastage,"Food wastage encompasses food loss (the loss of food during production and transportation) and food waste (the waste of food by the consumer) (FAO, 2013)."
Forcing,See Radiative forcing.
Forest,"A vegetation type dominated by trees. Many definitions of the term forest are in use throughout the world, reflecting wide differences in biogeophysical conditions, social structure and economics. For a discussion of the term forest and related terms such as afforestation, reforestation and deforestation, see the IPCC Special Report on Land Use, Land-Use Change, and Forestry (IPCC, 2000). [Footnote: See also information provided by the United Nations Framework Convention on Climate Change (UNFCCC, 2013) and the Report on Definitions and Methodological Options to Inventory Emissions from Direct Human-induced Degradation of Forests and Devegetation of Other Vegetation Types (IPCC, 2003).] See also Afforestation, Deforestation, and Reforestation."
Fossil fuels,"Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil, and natural gas."
Framework Convention on Climate Change,See United Nations Framework Convention on Climate Change (UNFCCC).
Gender equity,
General purpose technologies (GPT),
General Purpose Technologies can be or are used pervasively in a wide range of sectors in ways that,"fundamentally change the modes of operation of those sectors (Helpman, 1998). Examples include the steam engine, power generator and motor, ICT, and biotechnology."
Geoengineering,"In this report, separate consideration is given to the two main approaches considered as ‘geoengineering’ in some of the literature: solar radiation modification (SRM) and carbon dioxide removal (CDR). Because of this separation, the term ‘geoengineering’ is not used in this report. See also Carbon dioxide removal (CDR) and Solar radiation modification (SRM)."
Glacier,"A perennial mass of ice, and possibly firn and snow, originating on the land surface by the recrystallisation of snow and showing evidence of past or present flow. A glacier typically gains mass by accumulation of snow, and loses mass by melting and ice discharge into the sea or a lake if the glacier terminates in a body of water. Land ice masses of continental size (>50 000 km2) are referred to as ice sheets. See also Ice sheet."
"Global climate model (also referred to as general circulation model, both abbreviated as GCM)",See Climate model.
Global mean surface temperature (GMST),"Area-weighted global average of land surface air temperature over land and sea surface temperatures, unless otherwise specified, normally expressed relative to a specified reference period. See also Land surface air temperature, and Sea surface temperature (SST)."
Global warming,"An increase in global mean surface temperature (GMST) averaged over a 30-year period, relative to 1850-1900 unless otherwise specified. For periods shorter than 30 years, global warming refers to the estimated average temperature over the 30 years centred on that shorter period, accounting for the impact of any temperature fluctuations or trend within those 30 years. See also Climate change, Climate variability, and Global mean surface temperature (GMST)."
Governance,
"A comprehensive and inclusive concept of the full range of means for deciding, managing,","implementing and monitoring policies and measures. Whereas government is defined strictly in terms of the nation-state, the more inclusive concept of governance recognizes the contributions of various levels of government (global, international, regional, sub-national and local) and the contributing roles of the private sector, of nongovernmental actors, and of civil society to addressing the many types of issues facing the global community. Adaptive governance"
An emerging term in the literature for the evolution of formal and informal institutions of governance,"that prioritize social learning in planning, implementation and evaluation of policy through iterative social learning to steer the use and protection of natural resources, ecosystem services and common pool natural resources, particularly in situations of complexity and uncertainty."
Governance capacity,
Green infrastructure,"The interconnected set of natural and constructed ecological systems, green spaces and other landscape features. It includes planted and indigenous trees, wetlands, parks, green open spaces and original grassland and woodlands, as well as possible building and street level design interventions that incorporate vegetation. Green infrastructure provides services and functions in the same way as"
conventional infrastructure. This definition builds from Culwick and Bobbins (2016).,
Greenhouse gas (GHG),"Greenhouse gases are those gaseous constituents of the atmosphere, both natural and anthropogenic, that absorb and emit radiation at specific wavelengths within the spectrum of terrestrial radiation emitted by the earth's surface, the atmosphere itself, and by clouds. This property causes the greenhouse effect. Water vapour (H2O), carbon dioxide (CO2), nitrous oxide (N2O), methane (CH4) and ozone (O3) are the primary GHGs in the earth's atmosphere. Moreover, there are a number of entirely human-made GHGs in the atmosphere, such as the halocarbons and other chlorine- and bromine-containing substances, dealt with under the Montreal Protocol. Beside CO2, N2O and CH4, the Kyoto Protocol deals with the GHGs sulphur hexafluoride (SF6), hydrofluorocarbons (HFCs) and perfluorocarbons (PFCs). See also Carbon dioxide (CO2), Methane (CH4), and Ozone (O3)."
Greenhouse gas removal (GGR),"Withdrawal of a GHG and/or a precursor from the atmosphere by a sink. See also Carbon dioxide removal (CDR), and Negative emissions."
Gross domestic product (GDP),"The sum of gross value added, at purchasers' prices, by all resident and non-resident producers in the economy, plus any taxes and minus any subsidies not included in the value of the products in a country or a geographic region for a given period, normally one year. GDP is calculated without deducting for depreciation of fabricated assets or depletion and degradation of natural resources."
Gross fixed capital formation (GFCF),"One component of the GDP that corresponds to the total value of acquisitions, minus disposals of fixed assets during one year by the business sector, governments and households, plus certain additions to the value of non-produced assets (such as subsoil assets or major improvements in the quantity, quality or productivity of land)."
Halocarbons,"A collective term for the group of partially halogenated organic species, which includes the chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), hydrofluorocarbons (HFCs), halons, methyl chloride and methyl bromide. Many of the halocarbons have large Global Warming Potentials. The chlorine and bromine-containing halocarbons are also involved in the depletion of the ozone layer."
Hazard,"The potential occurrence of a natural or human-induced physical event or trend that may cause loss of life, injury, or other health impacts, as well as damage and loss to property, infrastructure, livelihoods, service provision, ecosystems and environmental resources. See also Disaster, Exposure, Risk, and Vulnerability."
"Heating, ventilation, and air conditioning (HVAC)","Heating, ventilation and air conditioning technology is used to control temperature and humidity in an indoor environment, be it in buildings or in vehicles, providing thermal comfort and healthy air quality to the occupants. HVAC systems can be designed for an isolated space, an individual building or a distributed heating and cooling network within a building structure or a district heating system. The latter provides economies of scale and also scope for integration with solar heat, natural seasonal cooling/heating etc."
Heat wave,
A period of abnormally hot weather. Heat waves and warm spells have various and in some cases,overlapping definitions.
See also Extreme weather event.,
Holocene,"The Holocene is the current interglacial geological epoch, the second of two epochs within the Quaternary period, the preceding being the Pleistocene. The International Commission on Stratigraphy defines the start of the Holocene at 11,650 years before 1950. See also Anthropocene."
Human behaviour,"The way in which a person acts in response to a particular situation or stimulus. Human actions are relevant at different levels, from international, national, and sub-national actors, to NGO, firm-level actors, and communities, households, and individual actions. Adaptation behaviour Human actions that directly or indirectly affect the risks of climate change impacts. Mitigation behaviour Human actions that directly or indirectly influence mitigation."
Human behavioural change,A transformation or modification of human actions. Behaviour change efforts can be planned in ways that mitigate climate change and/or reduce negative consequences of climate change impacts.
Human rights,
"Rights that are inherent to all human beings, universal, inalienable, and indivisible, typically","expressed and guaranteed by law. They include the right to life, economic, social, and cultural rights, and the right to development and self-determination (based upon the definition by the UN Office of the High Commissioner). Procedural rights"
Rights to a legal procedure to enforce substantive rights.,Substantive rights
"Basic human rights, including the right to the substance of being human such as life itself, liberty and",happiness.
Human security,"A condition that is met when the vital core of human lives is protected, and when people have the freedom and capacity to live with dignity. In the context of climate change, the vital core of human lives includes the universal and culturally specific, material and non-material elements necessary for people to act on behalf of their interests and to live with dignity. Human system Any system in which human organizations and institutions play a major role. Often, but not always, the term is synonymous with society or social system. Systems such as agricultural systems, urban systems, political systems, technological systems, and economic systems are all human systems in the sense applied in this report."
Hydrological cycle,"The cycle in which water evaporates from the oceans and the land surface, is carried over the Earth in atmospheric circulation as water vapour, condenses to form clouds, precipitates as rain or snow, which on land can be intercepted by trees and vegetation, potentially accumulates as snow or ice, provides runoff on the land surface, infiltrates into soils, recharges groundwater, discharges into streams, flows out into the oceans, and ultimately evaporates again from the ocean or land surface. The various systems involved in the hydrological cycle are usually referred to as hydrological systems."
Ice sheet,"A mass of land ice of continental size that is sufficiently thick to cover most of the underlying bed, so that its shape is mainly determined by its dynamics (the flow of the ice as it deforms internally and/or slides at its base). An ice sheet flows outward from a high central ice plateau with a small average surface slope. The margins usually slope more steeply, and most ice is discharged through fast flowing ice streams or outlet glaciers, in some cases into the sea or into ice shelves floating on the sea. There are only two ice sheets in the modern world, one on Greenland and one on Antarctica. During glacial periods there were others. See also Glacier."
"Impacts (consequences, outcomes)","The consequences of realized risks on natural and human systems, where risks result from the interactions of climate-related hazards (including extreme weather and climate events), exposure, and vulnerability. Impacts generally refer to effects on lives, livelihoods, health and wellbeing, ecosystems and species, economic, social and cultural assets, services (including ecosystem services), and infrastructure. Impacts may be referred to as consequences or outcomes, and can be adverse or beneficial. See also Adaptation, Exposure, Hazard, Loss and Damage, and loss and damages, and Vulnerability."
(climate change) Impact assessment,"The practice of identifying and evaluating, in monetary and/or non-monetary terms, the effects of climate change on natural and human systems."
Indigenous knowledge,"Indigenous knowledge refers to the understandings, skills and philosophies developed by societies with long histories of interaction with their natural surroundings. For many Indigenous peoples, Indigenous knowledge informs decision-making about fundamental aspects of life, from day-to-day activities to longer term actions. This knowledge is integral to cultural complexes, which also encompass language, systems of classification, resource use practices, social interactions, values, ritual and spirituality. These distinctive ways of knowing are important facets of the world’s cultural diversity. This definition builds on UNESCO (2018)."
Indirect land-use change,See Land-use change.
Industrial revolution,"A period of rapid industrial growth with far-reaching social and economic consequences, beginning in Britain during the second half of the 18th century and spreading to Europe and later to other countries including the United States. The invention of the steam engine was an important trigger of this development. The industrial revolution marks the beginning of a strong increase in the use of fossil fuels, initially coal, and hence emission of carbon dioxide (CO2). See also Pre-industrial."
Industrialized/developed/developing countries,"There are a diversity of approaches for categorizing countries on the basis of their level of development, and for defining terms such as industrialized, developed, or developing. Several categorizations are used in this report. (1) In the United Nations system, there is no established convention for designating of developed and developing countries or areas. (2) The United Nations Statistics Division specifies developed and developing regions based on common practice. In addition, specific countries are designated as Least Developed Countries (LCD), landlocked developing countries, small island developing states, and transition economies. Many countries appear in more than one of these categories. (3) The World Bank uses income as the main criterion for classifying countries as low, lower middle, upper middle, and high income. (4) The UNDP aggregates indicators for life expectancy, educational attainment, and income into a single composite Human Development Index (HDI) to classify countries as low, medium, high, or very high human development."
Inequality,
Information and communication technology (ICT),"An umbrella term that includes any information and communication device or application, encompassing: computer systems, network hardware and software, cellphone, etc."
Infrastructure commitment,
See Climate change commitment.,
Institution,
"Institutions are rules and norms held in common by social actors that guide, constrain and shape","human interaction. Institutions can be formal, such as laws and policies, or informal, such as norms and conventions. Organizations - such as parliaments, regulatory agencies, private firms, and community bodies - develop and act in response to institutional frameworks and the incentives they frame. Institutions can guide, constrain and shape human interaction through direct control, through incentives, and through processes of socialization. See also Institutional capacity."
Institutional capacity,
Institutional capacity comprises building and strengthening individual organisations and providing,"technical and management training to support integrated planning and decision-making processes between organisations and people, as well as empowerment, social capital, and an enabling environment, including the culture, values and power relations (Willems and Baumert, 2003)."
Integrated assessment,"A method of analysis that combines results and models from the physical, biological, economic and social sciences and the interactions among these components in a consistent framework to evaluate the status and the consequences of environmental change and the policy responses to it. See also Integrated assessment model (IAM)."
Integrated assessment model (IAM),"Integrated assessment models (IAMs) integrate knowledge from two or more domains into a single framework. They are one of the main tools for undertaking integrated assessments. One class of IAM used in respect of climate change mitigation may include representations of: multiple sectors of the economy, such as energy, land use and land use change; interactions between sectors; the economy as a whole; associated GHG emissions and sinks; and reduced representations of the climate system. This class of model is used to assess linkages between economic, social and technological development and the evolution of the climate system."
Another class of IAM additionally includes representations of the costs associated with climate,"change impacts, but includes less detailed representations of economic systems. These can be used to assess impacts and mitigation in a cost-benefit framework and have been used to estimate the social cost of carbon."
Integrated water resources management (IWRM),"A process which promotes the coordinated development and management of water, land and related resources in order to maximise economic and social welfare in an equitable manner without compromising the sustainability of vital ecosystems."
Inter-generational justice,
Internal variability,"See Climate variability. Internet of Things (IoT) The network of computing devices embedded in everyday objects such as cars, phones and computers, connected via the internet, enabling them to send and receive data."
Iron fertilisation,See Ocean fertilisation.
Irreversibility,"A perturbed state of a dynamical system is defined as irreversible on a given timescale, if the recovery timescale from this state due to natural processes is substantially longer than the time it takes for the system to reach this perturbed state. See also Tipping point."
Justice,
Justice is concerned with ensuring that people get what is due to them setting out the moral or legal,"principles of fairness and equity in the way people are treated, often based on the ethics and values of society. Climate justice"
Justice that links development and human rights to achieve a human-centred approach to addressing,"climate change, safeguarding the rights of the most vulnerable people and sharing the burdens and benefits of climate change and its impacts equitably and fairly. This definitions builds upon the one used by the Mary Robinson Foundation - Climate Justice. Distributive justice"
Justice in the allocation of economic and non-economic costs and benefits across society.,Inter-generational justice
Justice in the distribution of economic and non-economic costs and benefits across generations.,Procedural justice
Justice in the way outcomes are brought about including who participates and is heard in the,processes of decision making. Social justice
"Just or fair relations within society that seek to address the distribution of wealth, access to resources,","opportunity, and support according to principles of justice and fairness. See also Equity, Ethics, Fairness, and Human rights."
Kyoto Protocol,"The Kyoto Protocol to the United Nations Framework Convention on Climate Change (UNFCCC) is an international treaty adopted in December 1997 in Kyoto, Japan, at the Third Session of the Conference of the Parties (COP3) to the UNFCCC. It contains legally binding commitments, in addition to those included in the UNFCCC. Countries included in Annex B of the Protocol (mostly OECD countries and countries with economies in transition) agreed to reduce their anthropogenic greenhouse gas (GHG) emissions (carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), and sulphur hexafluoride (SF6)) by at least 5% below 1990 levels in the first commitment period (2008-2012). The Kyoto Protocol entered into force on 16 February 2005 and as of May 2018 had 192 Parties (191 States and the European Union). A second commitment period was agreed in December 2012 at COP18, known as the Doha Amendment to the Kyoto Protocol, in which a new set of Parties committed to reduce GHG emissions by at least 18% below 1990 levels in the period from 2013 to 2020. However, as of May 2018, the Doha Amendment had not received sufficient ratifications to enter into force. See also United Nations Framework Convention on Climate Change (UNFCCC), and Paris Agreement."
Land surface air temperature,"The near-surface air temperature over land, typically measured at 1.25-2 m above the ground using standard meteorological equipment."
Land use,
"Land use refers to the total of arrangements, activities and inputs undertaken in a certain land cover","type (a set of human actions). The term land use is also used in the sense of the social and economic purposes for which land is managed (e.g., grazing, timber extraction, conservation and city dwelling). In national greenhouse gas inventories, land use is classified according to the IPCC land use categories of forest land, cropland, grassland, wetland, settlements, other. See also Land-use change."
Land-use change (LUC),
Land-use change involves a change from one land use category to another.,
Indirect land-use change (iLUC),"Refers to market-mediated or policy-driven shifts in land use that cannot be directly attributed to land use management decisions of individuals or groups. For example, if agricultural land is diverted to fuel production, forest clearance may occur elsewhere to replace the former agricultural production. Land use, land-use change and forestry (LULUCF) In the context of national greenhouse gas (GHG) inventories under the UNFCCC, LULUCF is a GHG inventory sector that covers anthropogenic emissions and removals of GHG from carbon pools in managed lands, excluding non-CO2 agricultural emissions. Following the 2006 IPCC Guidelines for National GHG Inventories, “anthropogenic” land-related GHG fluxes are defined as all those occurring on “managed land”, i.e., “where human interventions and practices have been applied to perform production, ecological or social functions”. Since managed land may include CO2 removals not considered as “anthropogenic” in some of the scientific literature assessed in this report (e.g., removals associated with CO2 fertilisation and N deposition), the land-related net GHG emission estimates included in this report are not necessarily directly comparable with LULUCF estimates in National GHG Inventories."
"See also Afforestation, Deforestation, Reforestation and the IPCC Special Report on Land Use, Land-
Use Change, and Forestry (IPCC, 2000).",
"Land use, land-use change and forestry (LULUCF)","See Land use, land-use change and forestry (LULUCF). Lifecycle assessment (LCA) Compilation and evaluation of the inputs, outputs and the potential environmental impacts of a product or service throughout its life cycle. This definition builds from ISO (2018)."
Likelihood,"The chance of a specific outcome occurring, where this might be estimated probabilistically. Likelihood is expressed in this report using a standard terminology (Mastrandrea et al., 2010). See Section 1.6 for the list of likelihood qualifiers used. See also Agreement, Evidence, Confidence, and Uncertainty."
Livelihood,"The resources used and the activities undertaken in order to live. Livelihoods are usually determined by the entitlements and assets to which people have access. Such assets can be categorised as human, social, natural, physical, or financial."
Local knowledge,"Local knowledge refers to the understandings and skills developed by individuals and populations, specific to the places where they live. Local knowledge informs decision-making about fundamental aspects of life, from day-to-day activities to longer term actions. This knowledge is a key element of the social and cultural systems which influence observations of, and responses to climate change; it also informs governance decisions. This definition builds on UNESCO (2018)"
Lock-in,
"A situation in which the future development of a system, including infrastructure, technologies,","investments, institutions, and behavioural norms, is determined or constrained (“locked in”) by historic developments."
Long-lived climate forcers (LLCF),"Long-lived climate forcers refer to a set of well-mixed greenhouse gases with long atmospheric lifetimes. This set of compounds includes carbon dioxide and nitrous oxide, together with some fluorinated gases. They have a warming effect on climate. These compounds accumulate in the atmosphere at decadal to centennial timescales, and their effect on climate hence persists for decades to centuries after their emission. On timescales of decades to a century already emitted emissions of long-lived climate forcers can only be abated by greenhouse gas removal (GGR)."
See also Short-lived climate forcers (SLCF).,
"Loss and Damage, and losses and damages",
Research has taken Loss and Damage (capitalized letters) to refer to political debate under the,"UNFCCC following the establishment of the Warsaw Mechanism on Loss and Damage in 2013, which is to “address loss and damage associated with impacts of climate change, including extreme events and slow onset events, in developing countries that are particularly vulnerable to the adverse effects of climate change.” Lowercase letters (losses and damages) have been taken to refer broadly to harm from (observed) impacts and (projected) risks (see Mechler et al., 2018)."
Maladaptive actions (Maladaptation),
"Actions that may lead to increased risk of adverse climate-related outcomes, including via increased","GHG emissions, increased vulnerability to climate change, or diminished welfare, now or in the future. Maladaptation is usually an unintended consequence."
Market exchange rates (MER),The rate at which a currency of one country can be exchanged with the currency of another country. In most economies such rates evolve daily while in others there are official conversion rates that are adjusted periodically.
See also Purchasing power parity (PPP).,
Market failure,"When private decisions are based on market prices that do not reflect the real scarcity of goods and services but rather reflect market distortions, they do not generate an efficient allocation of resources but cause welfare losses. A market distortion is any event in which a market reaches a market clearing price that is substantially different from the price that a market would achieve while operating under conditions of perfect competition and state enforcement of legal contracts and the ownership of private property. Examples of factors causing market prices to deviate from real economic scarcity are environmental externalities, public goods, monopoly power, information asymmetry, transaction costs, and non-rational behaviour."
"Measurement, reporting and verification (MRV)","Measurement “The process of data collection over time, providing basic datasets, including associated accuracy and precision, for the range of relevant variables. Possible data sources are field measurements, field observations, detection through remote sensing and interviews.” Source: UN REDD Reporting “The process of formal reporting of assessment results to the UNFCCC, according to predetermined formats and according to established standards, especially the Intergovernmental Panel on Climate Change (IPCC) Guidelines and GPG (Good Practice Guidance).” Source: UN REDD Verification “The process of formal verification of reports, for example, the established approach to verify national communications and national inventory reports to the UNFCCC.” Source: UN REDD"
Megadrought,
Methane (CH4),One of the six greenhouse gases (GHGs) to be mitigated under the Kyoto Protocol and is the major component of natural gas and associated with all hydrocarbon fuels. Significant emissions occur as a result of animal husbandry and agriculture and their management represents a major mitigation option.
Migration,
The International Organization for Migration (IOM) defines migration as “The movement of a person,"or a group of persons, either across an international border, or within a State. It is a population movement, encompassing any kind of movement of people, whatever its length, composition and causes; it includes migration of refugees, displaced persons, economic migrants, and persons moving for other purposes, including family reunification.” (IOM, 2018). Migrant The International Organization for Migration (IOM) defines a migrant as “any person who is moving or has moved across an international border or within a State away from his/her habitual place of residence, regardless of (1) the person’s legal status; (2) whether the movement is voluntary or involuntary; (3) what the causes for the movement are; or (4) what the length of the stay is.” (IOM, 2018). See also (Internal) Displacement."
Millennium Development Goals (MDGs),"A set of eight time-bound and measurable goals for combating poverty, hunger, disease, illiteracy, discrimination against women and environmental degradation. These goals were agreed at the UN Millennium Summit in 2000 together with an action plan to reach the goals by 2015."
Mitigation (of climate change),A human intervention to reduce emissions or enhance the sinks of greenhouse gases. Note that this encompasses carbon dioxide removal (CDR) options.
Mitigation behaviour,See Human behaviour.
Mitigation measures,"In climate policy, mitigation measures are technologies, processes or practices that contribute to mitigation, for example renewable energy (RE) technologies, waste minimization processes, public transport commuting practices. See also Policies (for mitigation and adaptation)."
